state,cities,Population,Violentcrime,Murder andnonnegligentmanslaughter,Rape1,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny-theft,Motorvehicletheft,crime rate
OR,Albany,54993,70,1,10,16,43,1467,128,1242,97,0.054626127418655246
NY,Albany,97221,736,4,60,189,483,2919,445,2315,159,0.06761983130327587
NY,Troy,49286,296,3,25,73,195,1365,225,1035,105,0.06139799124995995
IA,Ames,68237,135,1,44,21,69,1171,138,975,58,0.03630048653889488
MI,Ann Arbor,122893,309,2,77,46,184,2124,197,1789,138,0.03708133971046338
MD,Baltimore,597239,11101,348,324,4856,5573,25748,5414,16395,3939,0.10481081243963798
LA,Baton Rouge,220648,2066,70,52,645,1299,11673,2258,8616,799,0.11517038527366354
NY,Binghamton,44475,355,2,42,66,245,1907,417,1429,61,0.0937401627443527
VA,Blacksburg,44948,50,0,26,1,23,275,38,228,9,0.013349055547712145
IL,Bloomington,78107,387,1,49,57,280,1096,171,851,74,0.033019230271390955
CO,Boulder,108519,278,1,41,37,199,3284,405,2628,251,0.06308630825686676
NY,Buffalo,255686,2533,47,121,802,1563,8298,1610,6009,679,0.07481471341575531
VT,Burlington,42958,174,2,41,13,118,1110,109,976,25,0.055730148723204906
IL,Champaign,88891,827,2,73,94,658,2203,300,1777,126,0.058870514111123075
VA,Charlottesville,48453,157,0,32,22,103,1124,122,924,78,0.04963675387962499
TN,Cleveland,45453,464,2,35,42,385,2403,371,1845,187,0.1159464929474863
OH,Cleveland,381829,5791,92,479,1895,3325,17057,4311,9968,2778,0.1045104078268914
SC,Columbia,133790,1037,29,88,220,700,7027,916,5216,895,0.11279701619084466
IN,Columbus,47991,67,0,40,17,10,1439,130,1254,55,0.06136695142157343
OH,Columbus,906120,4561,81,882,1810,1788,29974,5809,20606,3559,0.07119263584575694
MI,Detroit,663502,13040,275,952,2346,9467,28550,6820,14844,6886,0.10571197330499982
MI,Troy,84688,67,2,10,8,47,1042,70,918,54,0.02539941194870625
OR,Eugene,173183,675,2,123,180,370,6184,964,4614,606,0.07531383168900418
AZ,Flagstaff,75013,367,1,42,43,281,2371,140,2169,62,0.06810910253148894
CO,Fort Collins,170889,371,1,41,36,293,3713,350,3135,228,0.04562637516813941
FL,Gainesville,135085,928,2,153,185,588,4712,501,3803,408,0.07663379822505037
IA,Iowa City,77390,167,1,40,25,101,1252,314,867,71,0.03451394900507865
NY,Ithaca,31122,41,1,5,9,26,840,56,768,16,0.055300279496904664
MI,Kalamazoo,76827,949,9,110,182,648,3578,703,2546,329,0.10549813863310373
NY,Kingston,22844,68,2,13,10,43,498,59,419,20,0.04657882055601688
TN,Knoxville,188666,1259,22,146,232,859,8207,1157,6067,983,0.0936739723822834
IN,West Lafayette,49154,32,0,5,3,24,357,42,304,11,0.01517710006899355
MI,East Lansing,47913,88,0,40,11,37,840,113,563,164,0.036900985123348
ME,Auburn,23214,34,1,13,5,15,511,56,445,10,0.045491750227907454
KY,Lexington,326070,967,26,175,362,404,9776,1537,7333,906,0.06292839858989051
NE,Lincoln,291128,1115,5,323,166,621,8008,988,6566,454,0.05884373486415852
CA,Los Angeles,4015546,29400,258,2274,9652,17216,95704,13809,66253,15642,0.054988301712466506
