Name	City	Status	Research Output	Student/Faculty Ratio	Scholarships	International Students	Size	Total Faculty	URL
Massachusetts Institute of Technology (MIT)	Cambridge	Private	Very High	4		3,730	M	3,065	https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
Stanford University	Stanford	Private	Very High	3		3,879	L	4,725	https://www.topuniversities.com/universities/stanford-university
Harvard University	Cambridge	Private	Very High	5		5,877	L	4,646	https://www.topuniversities.com/universities/harvard-university
California Institute of Technology (Caltech)	Pasadena	Private	Very High	2		692	S	968	https://www.topuniversities.com/universities/california-institute-technology-caltech
University of Chicago	Chicago	Private	Very High	6	Yes	4,696	L	2,703	https://www.topuniversities.com/universities/university-chicago
University of Pennsylvania	Philadelphia	Private	Very High	4	Yes	4,636	L	5,154	https://www.topuniversities.com/universities/university-pennsylvania
Yale University	New Haven	Private	Very High	2	Yes	2,537	M	5,391	https://www.topuniversities.com/universities/yale-university
Columbia University	New York City	Private	Very High	4	Yes	11,252	L	7,087	https://www.topuniversities.com/universities/columbia-university
Princeton University	Princeton	Private	Very High	8		1,912	M	1,050	https://www.topuniversities.com/universities/princeton-university
Cornell University	Ithaca	Private	Very High	8	Yes	5,675	L	2,843	https://www.topuniversities.com/universities/cornell-university
University of Michigan-Ann Arbor	Ann Arbor	Public	Very High	6		7,341	XL	7,132	https://www.topuniversities.com/universities/university-michigan-ann-arbor
Johns Hopkins University	Baltimore	Private	Very High	3	Yes	5,070	L	4,855	https://www.topuniversities.com/universities/johns-hopkins-university
Northwestern University	Evanston	Private	Very High	5	Yes	3,846	L	3,652	https://www.topuniversities.com/universities/northwestern-university
University of California, Berkeley (UCB)	Berkeley	Public	Very High	11		9,428	XL	3,701	https://www.topuniversities.com/universities/university-california-berkeley-ucb
University of California, Los Angeles (UCLA)	Los Angeles	Public	Very High	10		6,140	XL	4,487	https://www.topuniversities.com/universities/university-california-los-angeles-ucla
New York University (NYU)	New York City	Private	Very High	6	Yes	16,218	XL	7,874	https://www.topuniversities.com/universities/new-york-university-nyu
University of California, San Diego (UCSD)	San Diego	Public	Very High	8		8,567	XL	4,545	https://www.topuniversities.com/universities/university-california-san-diego-ucsd
Duke University	Durham	Private	Very High	3	Yes	3,445	L	5,673	https://www.topuniversities.com/universities/duke-university
Carnegie Mellon University	Pittsburgh	Private	Very High	9	Yes	5,739	L	1,534	https://www.topuniversities.com/universities/carnegie-mellon-university
Brown University	Providence	Private	Very High	7	Yes	2,002	M	1,389	https://www.topuniversities.com/universities/brown-university
University of Texas at Austin	Austin	Public	Very High	17		4,953	XL	2,887	https://www.topuniversities.com/universities/university-texas-austin
University of Wisconsin-Madison	Madison	Public	Very High	8		5,737	XL	5,166	https://www.topuniversities.com/universities/university-wisconsin-madison
University of Illinois at Urbana-Champaign	Champaign	Public	Very High	17		9,987	XL	2,748	https://www.topuniversities.com/universities/university-illinois-urbana-champaign
University of Washington	Seattle	Public	Very High	15		7,362	XL	2,796	https://www.topuniversities.com/universities/university-washington
Georgia Institute of Technology	Atlanta	Public	Very High	19		5,675	L	1,267	https://www.topuniversities.com/universities/georgia-institute-technology
Rice University	Houston	Private	Very High	7	Yes	2,278	M	996	https://www.topuniversities.com/universities/rice-university
Pennsylvania State University	University Park	Public	Very High	11		6,943	XL	4,207	https://www.topuniversities.com/universities/pennsylvania-state-university
University of North Carolina, Chapel Hill	Chapel Hill	Public	Very High	7		2,749	XL	4,646	https://www.topuniversities.com/universities/university-north-carolina-chapel-hill
Washington University in St. Louis	St. Louis	Private	Very High	5	Yes	3,535	L	3,193	https://www.topuniversities.com/universities/washington-university-st-louis
Boston University	Boston	Private	Very High	10	Yes	8,159	L	2,642	https://www.topuniversities.com/universities/boston-university
University of Southern California	Los Angeles	Private	Very High	10	Yes	9,107	XL	3,116	https://www.topuniversities.com/universities/university-southern-california
Purdue University	West Lafayette	Public	Very High	15		8,034	XL	2,622	https://www.topuniversities.com/universities/purdue-university
The Ohio State University	Columbus	Public	Very High	9		7,029	XL	6,388	https://www.topuniversities.com/universities/ohio-state-university
University of California, Davis	Davis	Public	Very High	10		8,414	XL	3,420	https://www.topuniversities.com/universities/university-california-davis
University of California, Santa Barbara (UCSB)	Santa Barbara	Public	Very High	16		4,309	L	1,597	https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb
University of Rochester	Rochester	Private	Very High	5	Yes	3,644	M	1,853	https://www.topuniversities.com/universities/university-rochester
Michigan State University	East Lansing	Public	Very High	15	Yes	5,795	XL	3,008	https://www.topuniversities.com/universities/michigan-state-university
University of Maryland, College Park	College Park	Public	Very High	10	Yes	4,659	XL	3,798	https://www.topuniversities.com/universities/university-maryland-college-park
Emory University	Atlanta	Private	Very High	5	Yes	2,264	L	2,725	https://www.topuniversities.com/universities/emory-university
