city,date,weathers
Cambridge,1/15/20,7
Cambridge,2/15/20,-4
Cambridge,3/15/20,4
Cambridge,4/15/20,8
Cambridge,5/15/20,16
Cambridge,6/15/20,19
Cambridge,7/15/20,21
Cambridge,8/15/20,21
Cambridge,9/15/20,17
Cambridge,10/15/20,18
Cambridge,11/15/20,7
Cambridge,12/15/20,-1
Stanford,1/15/20,8
Stanford,2/15/20,15
Stanford,3/15/20,9
Stanford,4/15/20,20
Stanford,5/15/20,17
Stanford,6/15/20,18
Stanford,7/15/20,21
Stanford,8/15/20,27
Stanford,9/15/20,23
Stanford,10/15/20,27
Stanford,11/15/20,15
Stanford,12/15/20,11
Pasadena,1/15/20,22
Pasadena,2/15/20,13
Pasadena,3/15/20,24
Pasadena,4/15/20,17
Pasadena,5/15/20,29
Pasadena,6/15/20,30
Pasadena,7/15/20,32
Pasadena,8/15/20,31
Pasadena,9/15/20,30
Pasadena,10/15/20,27
Pasadena,11/15/20,22
Pasadena,12/15/20,12
Chicago,1/15/20,2
Chicago,2/15/20,-4
Chicago,3/15/20,2
Chicago,4/15/20,3
Chicago,5/15/20,19
Chicago,6/15/20,18
Chicago,7/15/20,26
Chicago,8/15/20,26
Chicago,9/15/20,20
Chicago,10/15/20,11
Chicago,11/15/20,6
Chicago,12/15/20,-1
Philadelphia,1/15/20,10
Philadelphia,2/15/20,0
Philadelphia,3/15/20,8
Philadelphia,4/15/20,9
Philadelphia,5/15/20,24
Philadelphia,6/15/20,22
Philadelphia,7/15/20,30
Philadelphia,8/15/20,25
Philadelphia,9/15/20,22
Philadelphia,10/15/20,20
Philadelphia,11/15/20,12
Philadelphia,12/15/20,2
New Haven,1/15/20,6
New Haven,2/15/20,-6
New Haven,3/15/20,5
New Haven,4/15/20,7
New Haven,5/15/20,18
New Haven,6/15/20,18
New Haven,7/15/20,23
New Haven,8/15/20,23
New Haven,9/15/20,15
New Haven,10/15/20,18
New Haven,11/15/20,10
New Haven,12/15/20,0
Durham,1/15/20,15
Durham,2/15/20,3
Durham,3/15/20,9
Durham,4/15/20,7
Durham,5/15/20,22
Durham,6/15/20,16
Durham,7/15/20,30
Durham,8/15/20,28
Durham,9/15/20,21
Durham,10/15/20,20
Durham,11/15/20,18
Durham,12/15/20,4
New York,1/15/20,8
New York,2/15/20,-2
